sec	kind	item	dec	rt	fn	d1	d2	desc	group	tbl	pdf	doc	md
08	C	&59	89			N/A	N/A	Get Amplitude Envelope Velocity→Attack	Get Amplitude Envelope	11	21	17	884
08	C	&5A	90			N/A	N/A	Get Amplitude Envelope Decay	Get Amplitude Envelope	11	21	17	885
08	C	&5B	91			N/A	N/A	Get Amplitude Envelope Sustain	Get Amplitude Envelope	11	21	17	886
08	C	&5C	92			N/A	N/A	Get Amplitude Envelope Release	Get Amplitude Envelope	11	21	17	887
08	C	&5D	93			N/A	N/A	Get Amplitude Envelope On Velocity→Release	Get Amplitude Envelope	11	21	17	888
08	C	&5E	94			N/A	N/A	Get Amplitude Envelope Keyscale	Get Amplitude Envelope	11	21	17	889
08	C	&5F	95			N/A	N/A	Get Amplitude Envelope Off Velocity→Release	Get Amplitude Envelope	11	21	17	890
08	C	&60	96	RT		1, 2, 3, 4	0–100	Set Aux Env. Rate <Data1> = Aux. Rate (1, 2, 3 or 4) <Data2> = Rate value.	Set Aux Envelope	11	21	17	892
08	C	&61	97			1, 4	0, 1 ; <Data3>0–100	Set Aux Env. Velocity→Rate <Data1> = Aux. Rate (1 or 4) <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Set Aux Envelope	11	21	17	896
08	C	&62	98			0, 1	0–100	Set Aux Env. Keyboard→R2/R4 <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Aux Envelope	11	21	17	899
08	C	&63	99	RT		1, 2, 3, 4	0–100	Set Aux Env. Level <Data1> = Aux. Level (1, 2, 3 or 4) <Data2> = Level value.	Set Aux Envelope	11	21	17	901
08	C	&64	100			4	0, 1 ; <Data3>0–100	Set Aux Env. Velocity→Rate <Data1> = Aux. Rate (4 only) <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Set Aux Envelope	11	21	17	904
08	C	&68	104			1, 2, 3, 4	N/A	Get Aux Env. Rate <Data1> = Aux. Rate (1, 2, 3 or 4)	Get Aux Envelope	11	21	17	908
08	C	&69	105			1, 4	N/A	Get Aux Env. Velocity→Rate <Data1> = Aux. Rate (1 or 4)	Get Aux Envelope	11	21	17	910
08	C	&6A	106			N/A	N/A	Get Aux Env. Keyboard→R2/R4	Get Aux Envelope	11	22	18	919
08	C	&6B	107			1, 2, 3, 4	N/A	Get Aux Env. Level <Data1> = Aux. Level (1, 2, 3 or 4)	Get Aux Envelope	11	22	18	921
08	C	&6C	107			4	N/A	Get Aux Env. Off Velocity→Rate <Data1> = Aux. Rate (4 only)	Get Aux Envelope	11	22	18	923
08	R	&02	2			0, 1–99	N/A	<Data1> = Keygroup number which is currently selected. If <Data1> = 0, then ALL Keygroups are selected.		12	22	18	933
08	R	&0A	10			21–127	N/A	Get Low Note. <Data1> = note, where: 21–127 = A-1–G8	Getting General Options	12	22	18	936
08	R	&0B	11			21–127	N/A	Get High Note. <Data1> = note, where: 21–127 = A-1–G8	Getting General Options	12	22	18	937
08	R	&0C	12			0, 1–32	N/A	Get Mute Group <Data1> = (0=OFF, 1–32=value)	Getting General Options	12	22	18	938
08	R	&0D	13			0, 1–4	N/A	Get FX override <Data1> = (0=OFF, 1=FX1, 2=FX2, 3=RV3, 4=RV4)	Getting General Options	12	22	18	939
08	R	&0E	14			0–100	N/A	Get FX Send Level <Data1> = level	Getting General Options	12	22	18	940
08	R	&0F	15			0, 1	N/A	Get Zone Crossfade <Data1> = (0=OFF, 1=ON)	Getting General Options	12	22	18	942
08	R	&18	24			0, 1	0–36	Get Semitone Tune. <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Keygroup Pitch/Amp	12	22	18	944
08	R	&19	25			0, 1	0–50	Get Fine Tune. <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Keygroup Pitch/Amp	12	22	18	947
08	R	&1A	26			0–10	N/A	Get Keygroup Level <Data1> = value in dB, where: 0=−30dB, 1=−24dB, 2=−18dB, 3=−12dB, 4=−6dB, 5=0dB 6=6dB, 7=12dB, 8=18dB, 9=24dB, 10=30dB.	Get Keygroup Pitch/Amp	12	22	18	950
08	R	&1B	27			0, 1	0–100	Get Pitch Mod Value. <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Keygroup Pitch/Amp	12	22	18	953
08	R	&1C	28			0, 1	0–100	Get Amp Mod Value. <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Keygroup Pitch/Amp	12	22	18	956
08	R	&28	40			0–25	N/A	Get Filter Mode <Data1> = mode, where: 0=2-POLE LP, 1=4-POLE LP, 2=2-POLE LP+, 3=2-POLE BP, 4=4-POLE BP, 5=2-POLE BP+, 6=1-POLE HP, 7=2-POLE HP, 8=1-POLE HP+, 9=LO<>HI, 10=LO<>BAND, 11=BAND<>HI, 12=NOTCH 1, 13=NOTCH 2, 14=NOTCH 3, 15=WIDE NOTCH, 16=BI-NOTCH, 17=PEAK 1, 18=PEAK 2, 19=PEAK 3, 20=WIDE PEAK, 21=BI-PEAK, 22=PHASER 1, 23=PHASER 2, 24=BI-PHASE, 25=VOWELISER	Get Filter	12	22	18	960
08	R	&29	41			0–100	N/A	Get Filter Cutoff Frequency, <Data1> = value.	Get Filter	12	22	18	969
08	R	&2A	42			0–15	N/A	Get Filter Resonance, <Data1> = value.	Get Filter	12	23	19	975
08	R	&2B	43			0, 1	0–36	Get Filter Keyboard Track, <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Filter	12	23	19	977
08	R	&2C	44			0, 1	0–100	Get Filter Mod Input Value. <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Filter	12	23	19	979
08	R	&2D	45			0–5	N/A	Get Filter Attenuation. <Data1> = value, where: 0=0dB, 1=6dB, 2=12dB, 3=18dB, 4=24dB, 5=30dB.	Get Filter	12	23	19	982
08	R	&40	64			0–100	N/A	Get Filter Envelope Attack. <Data1> = value.	Get Filter Envelope	12	23	19	985
08	R	&41	65			0, 1	0–100	Get Filter Envelope Velocity→Attack <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Filter Envelope	12	23	19	987
08	R	&42	66			0–100	N/A	Get Filter Envelope Decay <Data1> = value	Get Filter Envelope	12	23	19	990
08	R	&43	67			0–100	N/A	Get Filter Envelope Sustain <Data1> = value	Get Filter Envelope	12	23	19	992
08	R	&44	68			0–100	N/A	Get Filter Envelope Release <Data1> = value	Get Filter Envelope	12	23	19	993
08	R	&45	69			0, 1	0–100	Get Filter Envelope On Velocity→Release <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Filter Envelope	12	23	19	994
08	R	&46	70			0, 1	0–100	Get Filter Envelope Keyscale <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Filter Envelope	12	23	19	997
08	R	&47	71			0, 1	0–100	Get Filter Envelope Depth <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Filter Envelope	12	23	19	1000
08	R	&48	72			0, 1	0–100	Get Filter Envelope Off Velocity→Rate <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Get Filter Envelope	12	23	19	1004
08	R	&58	88			0–100	N/A	Get Amplitude Envelope Attack. <Data1> = value.	Get Amplitude Envelope	12	23	19	1008
